name,Number.of.Bordering.Countries,Bordering.countries
Czechia,4,Austria: 362 km (225 mi) Germany: 815 km (506 mi)[2] Poland: 658 km (409 mi) Slovakia: 215 km (134 mi)
Dem. Rep. Congo,9,"Angola (2): 2,511 km (1,560 mi)[e] Burundi: 233 km (145 mi) Central African Republic: 1,577 km (980 mi) Republic of the Congo: 2,410 km (1,500 mi) Rwanda: 217 km (135 mi) South Sudan: 628 km (390 mi) Tanzania: 459 km (285 mi) Uganda: 765 km (475 mi) Zambia: 1,930 km (1,200 mi)"
Denmark,2,Germany: 68 km (42 mi) Canada: 1.2 km (0.75 mi)
Djibouti,3,Eritrea: 125 km (78 mi) Ethiopia: 342 km (213 mi) Somaliland: 61 km (38 mi)
Dominican Rep.,1,Haiti: 360 km (220 mi)
Ecuador,2,"Colombia: 590 km (370 mi) Peru: 1,420 km (880 mi)"
Egypt,4,"Gaza Strip (State of Palestine):[v] 11 km (6.8 mi) Israel: 266 km (165 mi) Libya: 1,115 km (693 mi) Sudan: 1,273 km (791 mi)"
El Salvador,2,Guatemala: 203 km (126 mi) Honduras: 342 km (213 mi)
Eq. Guinea,2,Cameroon: 189 km (117 mi) Gabon: 350 km (220 mi)
Eritrea,3,Djibouti: 125 km (78 mi) Ethiopia: 912 km (567 mi) Sudan: 605 km (376 mi)
Estonia,2,Latvia: 339 km (211 mi) Russia: 294 km (183 mi)
Ethiopia,6,"Djibouti: 342 km (213 mi) Eritrea: 912 km (567 mi) Kenya: 861 km (535 mi) Somalia: 1,600 km (990 mi) South Sudan: 883 km (549 mi) Sudan: 723 km (449 mi)"
Fiji,0,
Finland,3,"Norway: 736 km (457 mi) Sweden (2): 614 km (382 mi) Russia: 1,340 km (830 mi)"
France,11,Andorra: 56.6 km (35.2 mi) Belgium: 620 km (390 mi) Brazil:[y] 673 km (418 mi) Germany: 451 km (280 mi) Italy: 488 km (303 mi) Luxembourg: 73 km (45 mi) Monaco: 4.4 km (2.7 mi) Sint Maarten[z][aa] (Netherlands): 10.2 km (6.3 mi) Spain (3):[w] 623 km (387 mi) Suriname:[y] 510 km (320 mi) Switzerland: 573 km (356 mi)
Gabon,3,"Cameroon: 298 km (185 mi) Republic of the Congo: 1,903 km (1,182 mi) Equatorial Guinea: 350 km (220 mi)"
Gambia,1,Senegal: 740 km (460 mi)
Georgia,4,Armenia: 219 km (136 mi) Azerbaijan: 428 km (266 mi) Russia: 894 km (556 mi) Turkey: 273 km (170 mi)
Germany,9,Austria: 784 km (487 mi) Belgium (6):[l] 167 km (104 mi) Czech Republic: 815 km (506 mi)[2] Denmark: 68 km (42 mi) France: 451 km (280 mi) Luxembourg: 138 km (86 mi) Netherlands: 577 km (359 mi) Poland: 456 km (283 mi) Switzerland (2):[ab] 334 km (208 mi)
Ghana,3,Burkina Faso: 549 km (341 mi) Côte d'Ivoire: 668 km (415 mi) Togo: 877 km (545 mi)
Greece,4,Albania: 282 km (175 mi) Bulgaria: 494 km (307 mi) Turkey: 206 km (128 mi) North Macedonia: 246 km (153 mi)
Greenland,NA,NA
Guatemala,4,Belize: 266 km (165 mi) El Salvador: 203 km (126 mi) Honduras: 256 km (159 mi) Mexico: 962 km (598 mi)
Guinea,6,Côte d'Ivoire: 610 km (380 mi) Guinea-Bissau: 386 km (240 mi) Liberia: 563 km (350 mi) Mali: 858 km (533 mi) Senegal: 330 km (210 mi) Sierra Leone: 652 km (405 mi)
Guinea-Bissau,2,Guinea: 386 km (240 mi) Senegal: 338 km (210 mi)
